Id_studenta;Imie;Nazwisko;Uczelnia;;Miejsce_zam;Rok_studiow;Dochod_na_osobe;kod_pocztowy;miejsce_zam;;kod_pocztowy;miejsce_zam;id_uczelni;id_miasta;
398;Karol;Zalewski;Politechnika Informatyczno-Elektroniczna;10;Leszno 90-272;I;2978;90-272;Leszno;;90-272;Leszno;2;98;
399;Seweryna;Kotek;Politechnika Informatyczno-Elektroniczna;10;Bielsk Podlaski 96-087;II;949;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;2;11;
400;Jowita;Adamska;Politechnika Informatyczno-Elektroniczna;10;Elbląg 10-656;IV;1771;10-656;Elbląg;;10-656;Elbląg;2;37;
401;Tomasz;Niczyj;Politechnika Królewska;10;Nałęczów 83-630;V;3295;83-630;Nałęczów;;83-630;Nałęczów;3;123;
402;Maja;Mazurkiewicz;Politechnika Królewska;10;Istebna 22-654;I;511;22-654;Istebna;;22-654;Istebna;3;56;
403;Alicja;Fedoruk;Politechnika Królewska;10;Sanok 71-890;I;2482;71-890;Sanok;;71-890;Sanok;3;160;
404;Jan;Ciebiera;Politechnika Informatyczno-Elektroniczna;10;Katowice 72-241;I;2898;72-241;Katowice;;72-241;Katowice;2;71;
405;Urszula;Sielecka;Uniwersytet Królewski;10;Bożewo 94-896;II;435;94-896;Bożewo;;94-896;Bożewo;5;13;
406;Ewelina;Katowicka;Politechnika Informatyczno-Elektroniczna;10;Chyżne 76-235;I;2357;76-235;Chyżne;;76-235;Chyżne;2;22;
407;Kinga;Wronska;Politechnika Informatyczno-Elektroniczna;10;Lubaczów 60-915;II;3271;60-915;Lubaczów;;60-915;Lubaczów;2;102;
408;Ewa;Gruszczynska;Wyższa Szkoła Techniczna;10;Olkusz 19-255;I;3337;19-255;Olkusz;;19-255;Olkusz;10;130;
409;Jan;Urbanski;Wyższa Szkoła Techniczna;10;Częstochowa 86-116;I;2124;86-116;Częstochowa;;86-116;Częstochowa;10;26;
410;Leslaw;Pawlica;Politechnika Królewska;10;Szczekociny 66-008;I;3258;66-008;Szczekociny;;66-008;Szczekociny;3;179;
411;Barbara;Przybylek;Uniwersytet Sportu i Turystyki;10;Izbica Kujawska 02-756;III;2187;02-756;Izbica Kujawska;;02-756;Izbica Kujawska;9;57;
412;Roza;Szklarczyk;Politechnika Informatyczno-Elektroniczna;10;Pyrzyce 76-362;II;2605;76-362;Pyrzyce;;76-362;Pyrzyce;2;151;
413;Anastazja;Gruzin;Politechnika Informatyczno-Elektroniczna;10;Kędzierzyn-Koźle 81-133;V;983;81-133;Kędzierzyn-Koźle;;81-133;Kędzierzyn-Koźle;2;73;
414;Dawid;Trzebiatowski;Politechnika Informatyczno-Elektroniczna;10;Przasnysz 81-084;I;2037;81-084;Przasnysz;;81-084;Przasnysz;2;146;
415;Roman;Hajtowicz;Uniwersytet Królewski;10;Myszków 91-786;III;751;91-786;Myszków;;91-786;Myszków;5;122;
416;Ewelia;Kolanko;Uniwersytet Królewski;10;Dąbrowa Górnicza 75-727;I;3336;75-727;Dąbrowa Górnicza;;75-727;Dąbrowa Górnicza;5;28;
417;Mateusz;Majewski;Politechnika Informatyczno-Elektroniczna;10;Gliwice 11-608;II;2270;11-608;Gliwice;;11-608;Gliwice;2;43;
418;Jaroslaw;Krema;Politechnika Informatyczno-Elektroniczna;10;Chorzów 97-545;V;1777;97-545;Chorzów;;97-545;Chorzów;2;21;
419;Lucyna;Arabas;Politechnika Królewska;10;Zamość 99-773;I;1000;99-773;Zamość;;99-773;Zamość;3;214;
420;Mateusz;Orlicki;Politechnika Informatyczno-Elektroniczna;10;Kędzierzyn-Koźle 81-133;I;2467;81-133;Kędzierzyn-Koźle;;81-133;Kędzierzyn-Koźle;2;73;
421;Sebastian;Alot;Politechnika Informatyczno-Elektroniczna;10;Ostrołęka 60-815;II;634;60-815;Ostrołęka;;60-815;Ostrołęka;2;134;
422;Jadwiga;Bober;Uniwersytet Sportu i Turystyki;10;Nałęczów 83-630;IV;3025;83-630;Nałęczów;;83-630;Nałęczów;9;123;
423;Gracja;Kozlowska;Uniwersytet Królewski;10;Limanowa 65-385;I;3330;65-385;Limanowa;;65-385;Limanowa;5;100;
424;Tomasz;Bronikowski;Politechnika Informatyczno-Elektroniczna;10;Konin 39-551;I;1304;39-551;Konin;;39-551;Konin;2;83;
425;Andrzej;Latacki;Uniwersytet Królewski;10;Pilica 15-308;II;1518;15-308;Pilica;;15-308;Pilica;5;139;
426;Kamil;Babula;Politechnika Informatyczno-Elektroniczna;10;Rybnik 24-983;I;1058;24-983;Rybnik;;24-983;Rybnik;2;158;
427;Czeslaw;Augustyneczek;Politechnika Królewska;10;Tychy 76-939;I;524;76-939;Tychy;;76-939;Tychy;3;193;
428;Anna;Hebda;Politechnika Informatyczno-Elektroniczna;10;Wrocław 62-182;V;1070;62-182;Wrocław;;62-182;Wrocław;2;209;
429;Bartosz;Bonkowski;Politechnika Informatyczno-Elektroniczna;10;Świętochłowice 38-932;I;983;38-932;Świętochłowice;;38-932;Świętochłowice;2;183;
430;Jozefa;Wysocka;Politechnika Informatyczno-Elektroniczna;10;Wrocław 62-182;II;2497;62-182;Wrocław;;62-182;Wrocław;2;209;
431;Justyna;Firlej;Uniwersytet Rolniczy;10;Prudnik 09-823;I;1919;09-823;Prudnik;;09-823;Prudnik;8;145;
432;Jadwiga;Wawer;Uniwersytet Królewski;10;Sośnicowice 15-658;II;2672;15-658;Sośnicowice;;15-658;Sośnicowice;5;171;
433;Michal;Klimisz;Politechnika Informatyczno-Elektroniczna;10;Tarnów 87-348;III;3092;87-348;Tarnów;;87-348;Tarnów;2;187;
434;Agnieszka;Bartkowiak;Politechnika Informatyczno-Elektroniczna;10;Zawiercie 58-922;I;3034;58-922;Zawiercie;;58-922;Zawiercie;2;215;
435;Ryszard;Siennicki;Uniwersytet Ekonomiczny;10;Wojkowice 84-273;II;2978;84-273;Wojkowice;;84-273;Wojkowice;4;207;
436;Marta;Gilowska;Politechnika Informatyczno-Elektroniczna;10;Jasło 92-050;I;1572;92-050;Jasło;;92-050;Jasło;2;59;
437;Honorata;Caban;Politechnika Informatyczno-Elektroniczna;10;Kogutek 99-754;II;689;99-754;Kogutek;;99-754;Kogutek;2;80;
438;Franciszek;Szybinski;Politechnika Królewska;10;Lublin 79-726;V;1776;79-726;Lublin;;79-726;Lublin;3;103;
439;Emila;Nikiel;Uniwersytet Królewski;10;Rajcza 18-286;I;1849;18-286;Rajcza;;18-286;Rajcza;5;155;
440;Jan;Jasinski;Politechnika Królewska;10;Świecko 47-842;I;962;47-842;Świecko;;47-842;Świecko;3;181;
441;Halina;Lakomska;Uniwersytet Królewski;10;Brzesko 96-703;I;863;96-703;Brzesko;;96-703;Brzesko;5;16;
442;Teofil;Wina;Politechnika Królewska;10;Rzeszów 89-735;IV;1963;89-735;Rzeszów;;89-735;Rzeszów;3;159;
443;Teresa;Krzesaj;Politechnika Informatyczno-Elektroniczna;10;Siemianowice Sląskie 09-006;II;2126;09-006;Siemianowice Sląskie;;09-006;Siemianowice Sląskie;2;162;
444;Karol;Mroczek;Politechnika Informatyczno-Elektroniczna;10;Jaworzynka 56-921;V;2947;56-921;Jaworzynka;;56-921;Jaworzynka;2;62;
445;Jagna;Urban;Politechnika Królewska;10;Olsztyn 44-718;I;1098;44-718;Olsztyn;;44-718;Olsztyn;3;131;
446;Szymon;Maron;Politechnika Królewska;10;Mikołów 96-497;IV;2372;96-497;Mikołów;;96-497;Mikołów;3;116;
447;Lucjusz;Tokarczyk;Politechnika Informatyczno-Elektroniczna;10;Mikołajki 83-977;II;985;83-977;Mikołajki;;83-977;Mikołajki;2;115;
448;Krzysztof;Badura;Uniwersytet Ekonomiczny;10;Mikołów 96-497;I;637;96-497;Mikołów;;96-497;Mikołów;4;116;
449;Konstanty;Banasikowski;Politechnika Informatyczno-Elektroniczna;10;Alwernia 27-938;I;2568;27-938;Alwernia;;27-938;Alwernia;2;2;
450;Krzysztof;Lipinski;Uniwersytet Muzyczny;10;Nałęczów 83-630;I;2635;83-630;Nałęczów;;83-630;Nałęczów;6;123;
451;Anna;Dworecka;Politechnika Królewska;10;Wałbrzych 62-834;I;2106;62-834;Wałbrzych;;62-834;Wałbrzych;3;197;
452;Kinga;Celeborska;Politechnika Informatyczno-Elektroniczna;10;Gostyń 97-023;I;940;97-023;Gostyń;;97-023;Gostyń;2;48;
453;Mateusz;Bednarek;Politechnika Informatyczno-Elektroniczna;10;Legionowo 36-889;I;507;36-889;Legionowo;;36-889;Legionowo;2;96;
454;Stanislaw;Anczewski;Politechnika Informatyczno-Elektroniczna;10;Świętochłowice 38-932;II;2305;38-932;Świętochłowice;;38-932;Świętochłowice;2;183;
455;Szymon;Wawron;Uniwersytet Królewski;10;Katowice 72-241;II;3312;72-241;Katowice;;72-241;Katowice;5;71;
456;Danuta;Banaszczykiewicz;Politechnika Informatyczno-Elektroniczna;10;Ogrodzieniec 82-082;I;2423;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;2;129;
457;Tymon;Abacki;Uniwersytet Ekonomiczny;10;Kędzierzyn-Koźle 81-133;III;963;81-133;Kędzierzyn-Koźle;;81-133;Kędzierzyn-Koźle;4;73;
458;Ewelina;Blada;Politechnika Informatyczno-Elektroniczna;10;Terespol 22-593;IV;1961;22-593;Terespol;;22-593;Terespol;2;188;
459;Wieslawa;Bedynska;Uniwersytet Królewski;10;Koniaków 34-607;II;593;34-607;Koniaków;;34-607;Koniaków;5;82;
460;Bartosz;Dudek;Politechnika Informatyczno-Elektroniczna;10;Świecko 47-842;IV;2948;47-842;Świecko;;47-842;Świecko;2;181;
461;Tomasz;Kaczmarek;Uniwersytet Ekonomiczny;10;Wodzisław Sląski 83-544;I;1140;83-544;Wodzisław Sląski;;83-544;Wodzisław Sląski;4;206;
462;Aleksander;Adamczyk;Uniwersytet Rolniczy;10;Mirów 69-389;V;1260;69-389;Mirów;;69-389;Mirów;8;117;
463;Kinga;Kawka;Uniwersytet Królewski;10;Olkusz 19-255;I;2512;19-255;Olkusz;;19-255;Olkusz;5;130;
464;Morfeusz;Grodecki;Akademia Sztuk Pięknych;#N/D;Chełm 37-997;I;1713;37-997;Chełm;;37-997;Chełm;1;20;
465;Jerzy;Bodnarczyk;Politechnika Informatyczno-Elektroniczna;10;Piechowice 57-943;I;3260;57-943;Piechowice;;57-943;Piechowice;2;137;
466;Paulina;Dykiel;Politechnika Informatyczno-Elektroniczna;10;Jastrzębie-Zdrój 51-394;I;1995;51-394;Jastrzębie-Zdrój;;51-394;Jastrzębie-Zdrój;2;60;
467;Adam;Bednarczyk;Politechnika Informatyczno-Elektroniczna;10;Krapkowice 94-560;I;1303;94-560;Krapkowice;;94-560;Krapkowice;2;87;
468;Barbara;Olszewska;Uniwersytet Królewski;10;Baborów 48-364;IV;1528;48-364;Baborów;;48-364;Baborów;5;3;
469;Wieslawa;Barcisz;Politechnika Królewska;10;Oświęcim 27-702;II;1278;27-702;Oświęcim;;27-702;Oświęcim;3;135;
470;Pawel;Kowal;Uniwersytet Królewski;10;Wadowice 47-222;V;3125;47-222;Wadowice;;47-222;Wadowice;5;195;
471;Monika;Rybicka;Uniwersytet Ekonomiczny;10;Kędzierzyn-Koźle 81-133;I;1111;81-133;Kędzierzyn-Koźle;;81-133;Kędzierzyn-Koźle;4;73;
472;Adam;Grabczak;Uniwersytet Rolniczy;10;Limanowa 65-385;IV;1116;65-385;Limanowa;;65-385;Limanowa;8;100;
473;Jan;Kozak;Uniwersytet Pedagogiczny;10;Ełk 05-563;III;3021;05-563;Ełk;;05-563;Ełk;7;38;
474;Wiera;Augustowska;Politechnika Informatyczno-Elektroniczna;10;Kłomnice 43-045;II;872;43-045;Kłomnice;;43-045;Kłomnice;2;77;
475;Lew;Wiejski;Akademia Sztuk Pięknych;#N/D;Katowice 72-241;I;1787;72-241;Katowice;;72-241;Katowice;1;71;
476;Boguslawa;Sobota;Politechnika Informatyczno-Elektroniczna;10;Siemianowice Sląskie 09-006;II;2866;09-006;Siemianowice Sląskie;;09-006;Siemianowice Sląskie;2;162;
477;Miroslaw;Chochowski;Akademia Sztuk Pięknych;#N/D;Tarnobrzeg 85-266;I;2625;85-266;Tarnobrzeg;;85-266;Tarnobrzeg;1;185;
478;Halina;Kuchar;Politechnika Królewska;10;Katowice 72-241;I;859;72-241;Katowice;;72-241;Katowice;3;71;
479;Zbigniew;Zajac;Uniwersytet Królewski;10;Wadowice 47-222;V;1589;47-222;Wadowice;;47-222;Wadowice;5;195;
480;Edyta;Klan;Politechnika Królewska;10;Sosnowiec 14-721;V;1683;14-721;Sosnowiec;;14-721;Sosnowiec;3;170;
481;Celina;Krotoszyn;Uniwersytet Królewski;10;Będzin 69-501;III;3139;69-501;Będzin;;69-501;Będzin;5;7;
482;Katarzyna;Skutnik;Politechnika Informatyczno-Elektroniczna;10;Siedlce 14-461;I;3124;14-461;Siedlce;;14-461;Siedlce;2;161;
483;Krzysztof;But;Politechnika Królewska;10;Rybnik 24-983;IV;2273;24-983;Rybnik;;24-983;Rybnik;3;158;
484;Bartosz;Zalecki;Politechnika Informatyczno-Elektroniczna;10;Bytom 80-339;I;1127;80-339;Bytom;;80-339;Bytom;2;18;
485;Irena;Tarnowska;Uniwersytet Pedagogiczny;10;Suwałki 91-271;I;2158;91-271;Suwałki;;91-271;Suwałki;7;175;
486;Piotr;Murarz;Politechnika Królewska;10;Nysa 72-297;III;2893;72-297;Nysa;;72-297;Nysa;3;126;
487;Justyna;Biegaj;Politechnika Królewska;10;Świnoujskie 13-345;I;1770;13-345;Świnoujskie;;13-345;Świnoujskie;3;184;
488;Bohdan;Mrozowski;Politechnika Informatyczno-Elektroniczna;10;Piwniczna-Zdrój 09-592;I;2851;09-592;Piwniczna-Zdrój;;09-592;Piwniczna-Zdrój;2;141;
489;Karina;Kwiatkowska;Politechnika Informatyczno-Elektroniczna;10;Biała Podlaska 00-425;IV;2751;00-425;Biała Podlaska;;00-425;Biała Podlaska;2;8;
490;Katarzyna;Kruczek;Politechnika Informatyczno-Elektroniczna;10;Tomaszów Lubelski 95-084;I;2107;95-084;Tomaszów Lubelski;;95-084;Tomaszów Lubelski;2;189;
491;Anna;Barska;Politechnika Informatyczno-Elektroniczna;10;Ogrodzieniec 82-082;II;1047;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;2;129;
492;Marek;Piec;Uniwersytet Królewski;10;Kruszwica 33-294;V;3259;33-294;Kruszwica;;33-294;Kruszwica;5;90;
493;Marek;Grzeszczak;Uniwersytet Królewski;10;Mikołów 96-497;I;508;96-497;Mikołów;;96-497;Mikołów;5;116;
494;Leslaw;Bak;Politechnika Królewska;10;Ustroń 51-637;I;2799;51-637;Ustroń;;51-637;Ustroń;3;194;
495;Franciszka;Czemisow;Politechnika Informatyczno-Elektroniczna;10;Gorki Male 36-984;II;456;36-984;Gorki Male;;36-984;Gorki Male;2;46;
496;Michal;Sawicki;Politechnika Informatyczno-Elektroniczna;10;Olkusz 19-255;II;451;19-255;Olkusz;;19-255;Olkusz;2;130;
497;Sabina;Balcerek;Uniwersytet Królewski;10;Jasło 92-050;II;1840;92-050;Jasło;;92-050;Jasło;5;59;
498;Aleksandra;Cichawacz;Politechnika Królewska;10;Świeradów-Zdrój 01-685;I;3169;01-685;Świeradów-Zdrój;;01-685;Świeradów-Zdrój;3;182;
499;Kinga;Mlynarczyk;Uniwersytet Królewski;10;Sosnowiec 14-721;II;2543;14-721;Sosnowiec;;14-721;Sosnowiec;5;170;
500;Witold;Kupis;Uniwersytet Królewski;10;Sławków 42-081;II;1760;42-081;Sławków;;42-081;Sławków;5;167;
501;Janusz;Bokowski;Uniwersytet Pedagogiczny;10;Bielsk Podlaski 96-087;I;2891;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;7;11;
502;Elzbieta;Jaworska;Akademia Sztuk Pięknych;#N/D;Głuchołazy 30-136;II;804;30-136;Głuchołazy;;30-136;Głuchołazy;1;45;
503;Marzena;Por;Uniwersytet Królewski;10;Rajcza 18-286;II;2715;18-286;Rajcza;;18-286;Rajcza;5;155;
504;Beata;Wittek;Politechnika Informatyczno-Elektroniczna;10;Tarnobrzeg 85-266;V;1008;85-266;Tarnobrzeg;;85-266;Tarnobrzeg;2;185;
505;Wojciech;Rydawski;Politechnika Królewska;10;Wałbrzych 62-834;II;2711;62-834;Wałbrzych;;62-834;Wałbrzych;3;197;
506;Nikodem;Dyzma;Politechnika Informatyczno-Elektroniczna;10;Rogoźnik 74-768;II;3079;74-768;Rogoźnik;;74-768;Rogoźnik;2;156;
507;Wanda;Szalobryt;Politechnika Królewska;10;Bielsk Podlaski 96-087;II;701;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;3;11;
508;Andrzej;Okon;Politechnika Królewska;10;Szczyrk 75-361;III;1556;75-361;Szczyrk;;75-361;Szczyrk;3;180;
509;Anita;Chalbinska;Politechnika Informatyczno-Elektroniczna;10;Witonia 21-857;I;1772;21-857;Witonia;;21-857;Witonia;2;203;
510;Agnieszka;Badowska;Politechnika Królewska;10;Nowy Targ 84-043;I;1372;84-043;Nowy Targ;;84-043;Nowy Targ;3;125;
511;Tomasz;Kajdasiewicz;Politechnika Informatyczno-Elektroniczna;10;Częstochowa 86-116;III;1486;86-116;Częstochowa;;86-116;Częstochowa;2;26;
512;Piotr;Januszewski;Politechnika Królewska;10;Przemyśl 38-959;I;1613;38-959;Przemyśl;;38-959;Przemyśl;3;147;
513;Edyta;Styczen;Uniwersytet Królewski;10;Bydgoszcz 29-199;V;3105;29-199;Bydgoszcz;;29-199;Bydgoszcz;5;17;
514;Iwona;Andrzejewska;Uniwersytet Królewski;10;Ruda Sląska 12-684;I;2241;12-684;Ruda Sląska;;12-684;Ruda Sląska;5;157;
515;Danuta;Kapusta;Politechnika Informatyczno-Elektroniczna;10;Myszków 91-786;I;2708;91-786;Myszków;;91-786;Myszków;2;122;
516;Ruta;Sawa;Uniwersytet Królewski;10;Mysłowice 13-220;II;2726;13-220;Mysłowice;;13-220;Mysłowice;5;121;
517;Izabella;Cieslak;Uniwersytet Ekonomiczny;10;Suraż 76-117;I;1100;76-117;Suraż;;76-117;Suraż;4;174;
518;Tadeusz;Krason;Politechnika Informatyczno-Elektroniczna;10;Młynarze 72-438;IV;1894;72-438;Młynarze;;72-438;Młynarze;2;118;
519;Marcin;Gorgon;Politechnika Królewska;10;Pyrzowice 49-345;V;2681;49-345;Pyrzowice;;49-345;Pyrzowice;3;150;
520;Witold;Halama;Uniwersytet Królewski;10;Gryfice 51-783;II;1557;51-783;Gryfice;;51-783;Gryfice;5;50;
521;Teresa;Gryglak;Politechnika Informatyczno-Elektroniczna;10;Limanowa 65-385;II;3117;65-385;Limanowa;;65-385;Limanowa;2;100;
522;Jolanta;Turlej;Politechnika Informatyczno-Elektroniczna;10;Ełk 05-563;V;3344;05-563;Ełk;;05-563;Ełk;2;38;
523;Kamil;Gruca;Uniwersytet Królewski;10;Karniewo 21-405;I;3300;21-405;Karniewo;;21-405;Karniewo;5;70;
524;Daniel;Filipek;Politechnika Informatyczno-Elektroniczna;10;Katowice 72-241;I;2302;72-241;Katowice;;72-241;Katowice;2;71;
525;Beata;Dabrowska;Politechnika Informatyczno-Elektroniczna;10;Katowice 72-241;II;2576;72-241;Katowice;;72-241;Katowice;2;71;
526;Krzysztof;Cebula;Uniwersytet Królewski;10;Olkusz 19-255;I;3155;19-255;Olkusz;;19-255;Olkusz;5;130;
527;Anna;Horbacz;Politechnika Królewska;10;Chorzów 97-545;I;1079;97-545;Chorzów;;97-545;Chorzów;3;21;
528;Krzysztof;Barski;Uniwersytet Królewski;10;Ogrodzieniec 82-082;I;1047;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;5;129;
529;Wanda;Pacula;Uniwersytet Rolniczy;10;Katowice 72-241;II;2350;72-241;Katowice;;72-241;Katowice;8;71;
530;Ewa;Barwicka;Uniwersytet Królewski;10;Nowy Sącz 62-813;I;600;62-813;Nowy Sącz;;62-813;Nowy Sącz;5;124;
531;Katarzyna;Bartecka;Politechnika Królewska;10;Chorzów 97-545;I;350;97-545;Chorzów;;97-545;Chorzów;3;21;
532;Natalia;Pypno;Politechnika Informatyczno-Elektroniczna;10;Radom 43-586;I;1139;43-586;Radom;;43-586;Radom;2;154;
533;Maciej;Knapik;Politechnika Informatyczno-Elektroniczna;10;Istebna 22-654;IV;1056;22-654;Istebna;;22-654;Istebna;2;56;
534;Katarzyna;Ochocka;Uniwersytet Królewski;10;Siewierz 65-885;I;750;65-885;Siewierz;;65-885;Siewierz;5;164;
535;Agnieszka;Otwocka;Politechnika Informatyczno-Elektroniczna;10;Racibórz 00-355;I;3176;00-355;Racibórz;;00-355;Racibórz;2;153;
536;Bozena;Chmielewska;Politechnika Informatyczno-Elektroniczna;10;Istebna 22-654;II;1835;22-654;Istebna;;22-654;Istebna;2;56;
537;Maria;Krasiczynska;Uniwersytet Królewski;10;Tarnobrzeg 85-266;I;1623;85-266;Tarnobrzeg;;85-266;Tarnobrzeg;5;185;
538;Katarzyna;Budziak;Uniwersytet Królewski;10;Nowy Targ 84-043;II;1153;84-043;Nowy Targ;;84-043;Nowy Targ;5;125;
539;Adam;Gumowski;Politechnika Informatyczno-Elektroniczna;10;Zamość 99-773;I;3059;99-773;Zamość;;99-773;Zamość;2;214;
540;Alina;Charemska;Politechnika Informatyczno-Elektroniczna;10;Mysłowice 13-220;I;1847;13-220;Mysłowice;;13-220;Mysłowice;2;121;
541;Zbigniew;Jaworski;Uniwersytet Królewski;10;Mysłowice 13-220;III;3238;13-220;Mysłowice;;13-220;Mysłowice;5;121;
542;Marcin;Grabysz;Uniwersytet Sportu i Turystyki;10;Bielsk Podlaski 96-087;I;2125;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;9;11;
543;Jan;Chylak;Politechnika Informatyczno-Elektroniczna;10;Gliwice 11-608;I;1224;11-608;Gliwice;;11-608;Gliwice;2;43;
544;Grzegorz;Sokolowski;Politechnika Królewska;10;Puławy 66-219;III;606;66-219;Puławy;;66-219;Puławy;3;149;
545;Anna;Smela;Politechnika Informatyczno-Elektroniczna;10;Sośnicowice 15-658;I;1375;15-658;Sośnicowice;;15-658;Sośnicowice;2;171;
546;Maria;Kolka;Uniwersytet Rolniczy;10;Sośnicowice 15-658;II;790;15-658;Sośnicowice;;15-658;Sośnicowice;8;171;
547;Krzysztof;Groza;Politechnika Królewska;10;Strzelce Opolskie 60-596;I;2014;60-596;Strzelce Opolskie;;60-596;Strzelce Opolskie;3;172;
548;Katarzyna;Friedek;Politechnika Królewska;10;Wisła 99-436;I;898;99-436;Wisła;;99-436;Wisła;3;202;
549;Piotr;Szczerek;Uniwersytet Królewski;10;Rajcza 18-286;III;2896;18-286;Rajcza;;18-286;Rajcza;5;155;
550;Edward;Bebanek;Uniwersytet Królewski;10;Bielsk Podlaski 96-087;I;1580;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;5;11;
551;Grzegorz;Kinski;Politechnika Informatyczno-Elektroniczna;10;Mysłowice 13-220;I;3000;13-220;Mysłowice;;13-220;Mysłowice;2;121;
552;Patryk;Brylok;Politechnika Informatyczno-Elektroniczna;10;Suwałki 91-271;I;3007;91-271;Suwałki;;91-271;Suwałki;2;175;
553;Ewa;Oszczudlowska;Uniwersytet Ekonomiczny;10;Przemyśl 38-959;I;1141;38-959;Przemyśl;;38-959;Przemyśl;4;147;
554;Irma;Iwasiow;Politechnika Królewska;10;Rogoźnik 74-768;I;1201;74-768;Rogoźnik;;74-768;Rogoźnik;3;156;
555;Tomasz;Muc;Uniwersytet Rolniczy;10;Cieszyn 68-101;IV;1243;68-101;Cieszyn;;68-101;Cieszyn;8;25;
556;Piotr;Cholewa;Uniwersytet Pedagogiczny;10;Hrebenne 37-873;II;2318;37-873;Hrebenne;;37-873;Hrebenne;7;53;
557;Antoni;Chmielacz;Uniwersytet Rolniczy;10;Strzelce Opolskie 60-596;I;2952;60-596;Strzelce Opolskie;;60-596;Strzelce Opolskie;8;172;
558;Agnieszka;Witas;Politechnika Królewska;10;Młynarze 72-438;V;1914;72-438;Młynarze;;72-438;Młynarze;3;118;
559;Andrzej;Baran;Politechnika Informatyczno-Elektroniczna;10;Wodzisław Sląski 83-544;I;1390;83-544;Wodzisław Sląski;;83-544;Wodzisław Sląski;2;206;
560;Feliks;Bawarski;Uniwersytet Królewski;10;Katowice 72-241;I;433;72-241;Katowice;;72-241;Katowice;5;71;
561;Kinga;Matuszyk;Politechnika Królewska;10;Zabrze 91-525;I;562;91-525;Zabrze;;91-525;Zabrze;3;211;
562;Grzegorz;Borutawski;Politechnika Królewska;10;Nowy Targ 84-043;I;2859;84-043;Nowy Targ;;84-043;Nowy Targ;3;125;
563;Wiktor;Basajski;Politechnika Królewska;10;Ruda Sląska 12-684;II;920;12-684;Ruda Sląska;;12-684;Ruda Sląska;3;157;
564;Sylwester;Jasinski;Politechnika Informatyczno-Elektroniczna;10;Szczyrk 75-361;III;1216;75-361;Szczyrk;;75-361;Szczyrk;2;180;
565;Zofia;Ciechowska;Uniwersytet Królewski;10;Szczyrk 75-361;II;2652;75-361;Szczyrk;;75-361;Szczyrk;5;180;
566;Adam;Bialczak;Politechnika Informatyczno-Elektroniczna;10;Szczekociny 66-008;I;1676;66-008;Szczekociny;;66-008;Szczekociny;2;179;
567;Filip;Baczek;Akademia Sztuk Pięknych;#N/D;Tychy 76-939;I;459;76-939;Tychy;;76-939;Tychy;1;193;
568;Felicja;Latas;Uniwersytet Królewski;10;Mysłowice 13-220;II;592;13-220;Mysłowice;;13-220;Mysłowice;5;121;
569;Aleksy;Dudek;Uniwersytet Pedagogiczny;10;Tychy 76-939;II;2544;76-939;Tychy;;76-939;Tychy;7;193;
570;Krzysztof;Chorzyk;Politechnika Informatyczno-Elektroniczna;10;Limanowa 65-385;I;1037;65-385;Limanowa;;65-385;Limanowa;2;100;
571;Krzysztof;Kryszkiewicz;Uniwersytet Królewski;10;Istebna 22-654;III;390;22-654;Istebna;;22-654;Istebna;5;56;
572;Robert;Zielinski;Politechnika Królewska;10;Nowy Targ 84-043;V;2538;84-043;Nowy Targ;;84-043;Nowy Targ;3;125;
573;Zachariasz;Msciwujewski;Uniwersytet Królewski;10;Żyrardów 51-006;II;3044;51-006;Żyrardów;;51-006;Żyrardów;5;219;
574;Jakub;Dukowski;Uniwersytet Królewski;10;Chorzów 97-545;I;2983;97-545;Chorzów;;97-545;Chorzów;5;21;
575;Anastazja;Litwin;Uniwersytet Rolniczy;10;Nowy Targ 84-043;I;889;84-043;Nowy Targ;;84-043;Nowy Targ;8;125;
576;Tomasz;Gronus;Uniwersytet Królewski;10;Terespol 22-593;V;389;22-593;Terespol;;22-593;Terespol;5;188;
577;Zofia;Adamowicz;Uniwersytet Królewski;10;Kłomnice 43-045;II;439;43-045;Kłomnice;;43-045;Kłomnice;5;77;
578;Wislaw;Kowalski;Politechnika Informatyczno-Elektroniczna;10;Radom 43-586;II;3208;43-586;Radom;;43-586;Radom;2;154;
579;Konstantyn;Piatek;Uniwersytet Królewski;10;Legnica 58-930;I;350;58-930;Legnica;;58-930;Legnica;5;97;
580;Paulina;Uszek;Politechnika Królewska;10;Dęblin 53-807;I;1937;53-807;Dęblin;;53-807;Dęblin;3;31;
581;Andrzej;Kuras;Akademia Sztuk Pięknych;#N/D;Kołbaskowo 95-186;V;838;95-186;Kołbaskowo;;95-186;Kołbaskowo;1;81;
582;Beata;Cagara;Politechnika Informatyczno-Elektroniczna;10;Gierałtowice 04-834;IV;1698;04-834;Gierałtowice;;04-834;Gierałtowice;2;42;
